,Location,"Latitude, Longitude",Date,Name_en,Name_ko,Latitude,Longitude,Start_date,End_date,Full_Name_en,colors
0,Kilju,"40.963361, 129.320537",6/1/1911 - ,ImOI,임옥인,40.963361,129.320537,6/1/1911,,Im Ok-in,"rgb(141, 5, 5)"
1,Hamhung,"39.991616, 127.612627",1931 -,ImOI,임옥인,39.991616,127.612627,1931,,Im Ok-in,"rgb(141, 5, 5)"
2,Nara,"34.696509, 135.830573",3/1932 - ,ImOI,임옥인,34.696509,135.830573,3/1932,,Im Ok-in,"rgb(141, 5, 5)"
3,Hamhung,"39.991616, 127.612627",1935-,ImOI,임옥인,39.991616,127.612627,1935,,Im Ok-in,"rgb(141, 5, 5)"
4,Wonsan,"39.153670, 127.446306",1937 - ,ImOI,임옥인,39.15367,127.446306,1937,,Im Ok-in,"rgb(141, 5, 5)"
5,Hyesan,"41.388213, 128.176738",1945 - ,ImOI,임옥인,41.388213,128.176738,1945,,Im Ok-in,"rgb(141, 5, 5)"
6,Sindang-dong,"37.563035, 127.023774",1946 - ,ImOI,임옥인,37.563035,127.023774,1946,,Im Ok-in,"rgb(141, 5, 5)"
7,Daegu,"35.870210, 128.600333",1950 - ,ImOI,임옥인,35.87021,128.600333,1950,,Im Ok-in,"rgb(141, 5, 5)"
8,"Seoul, Sinchon-dong","37.562121, 126.946862",1955 - ,ImOI,임옥인,37.562121,126.946862,1955,,Im Ok-in,"rgb(141, 5, 5)"
9,"Seoul, Ssangmun-dong","37.651462, 127.016117",-,ImOI,임옥인,37.651462,127.016117,,,Im Ok-in,"rgb(141, 5, 5)"
10,"Seoul, Jayang-dong","37.540984, 127.079311",1959 -,ImOI,임옥인,37.540984,127.079311,1959,,Im Ok-in,"rgb(141, 5, 5)"
11,"Seoul, Dunchon-dong","37.527432, 127.143874",1960 -,ImOI,임옥인,37.527432,127.143874,1960,,Im Ok-in,"rgb(141, 5, 5)"
12,Vienna,"48.209161, 16.370437",11/1975 - ,ImOI,임옥인,48.209161,16.370437,11/1975,,Im Ok-in,"rgb(141, 5, 5)"
13,Daejeon,"36.355952, 127.342117",12/1975,ImOI,임옥인,36.355952,127.342117,12/1975,,Im Ok-in,"rgb(141, 5, 5)"
14,"Seoul, Jayang-dong","37.540984, 127.079311",1977 - 1978,ImOI,임옥인,37.540984,127.079311,1977,1978,Im Ok-in,"rgb(141, 5, 5)"
15,"Seoul, Jayang-dong","37.540984, 127.079311",4/4/1955,ImOI,임옥인,37.540984,127.079311,4/4/1955,,Im Ok-in,"rgb(141, 5, 5)"
16,"Seoul, Noryangjin","37.511025, 126.941804",09/12/1901,SimHun,심훈,37.511025,126.941804,09/12/1901,,Shim Hoon,"rgb(147, 45, 7)"
17,"Seoul, Hwa-dong ","37.579195, 126.983653",1915-,SimHun,심훈,37.579195,126.983653,1915,,Shim Hoon,"rgb(147, 45, 7)"
18,"Seoul, Seodaemun ","37.574279, 126.956082",1919-,SimHun,심훈,37.574279,126.956082,1919,,Shim Hoon,"rgb(147, 45, 7)"
19,"Seoul, Gahoe-dong","37.580025, 126.984635",1920-,SimHun,심훈,37.580025,126.984635,1920,,Shim Hoon,"rgb(147, 45, 7)"
20,"China, Hangzhou ","30.199040, 120.137625",1921-,SimHun,심훈,30.19904,120.137625,1921,,Shim Hoon,"rgb(147, 45, 7)"
21,Seoul,"37.511025, 126.941804",1923-,SimHun,심훈,37.511025,126.941804,1923,,Shim Hoon,"rgb(147, 45, 7)"
22,"Seoul, Jongno","37.570294, 126.978113",1924-,SimHun,심훈,37.570294,126.978113,1924,,Shim Hoon,"rgb(147, 45, 7)"
23,"Japan,Kyoto","35.024977, 135.741204",02/1927,SimHun,심훈,35.024977,135.741204,02/1927,,Shim Hoon,"rgb(147, 45, 7)"
24,"Seoul, Taepyeongno 1(il)-ga","37.567923, 126.975625",1928-,SimHun,심훈,37.567923,126.975625,1928,,Shim Hoon,"rgb(147, 45, 7)"
25,"Seoul, Jeongdong ","37.568612, 126.974402",1931-,SimHun,심훈,37.568612,126.974402,1931,,Shim Hoon,"rgb(147, 45, 7)"
26,"Seoul, Pyeong-dong ","37.568006, 126.966749",1932- ,SimHun,심훈,37.568006,126.966749,1932,,Shim Hoon,"rgb(147, 45, 7)"
27,"Dangjin-si, Chungcheongnam-do ","36.952625, 126.778488",1932- ,SimHun,심훈,36.952625,126.778488,1932,,Shim Hoon,"rgb(147, 45, 7)"
28,"Seoul, Jongno ","37.572453, 126.983245",1933-,SimHun,심훈,37.572453,126.983245,1933,,Shim Hoon,"rgb(147, 45, 7)"
29,"Dangjin-si, Chungcheongnam-do ","36.952198, 126.771443",1934- ,SimHun,심훈,36.952198,126.771443,1934,,Shim Hoon,"rgb(147, 45, 7)"
30,"Seoul, Yeongeon-dong","37.577749, 126.999876",09/16/1936,SimHun,심훈,37.577749,126.999876,09/16/1936,,Shim Hoon,"rgb(147, 45, 7)"
31,"Chongju, North Pyongan ","39.697498, 125.206807",03/04/1892 ,YiKS,이광수,39.697498,125.206807,03/04/1892 ,,Lee Kwang-soo,"rgb(228, 131, 15)"
32,Nagoya ,"35.125372, 136.884587",1905-,YiKS,이광수,35.125372,136.884587,1905,,Lee Kwang-soo,"rgb(228, 131, 15)"
33,Tokyo,"35.689057, 139.559149",1906-,YiKS,이광수,35.689057,139.559149,1906,,Lee Kwang-soo,"rgb(228, 131, 15)"
34,Tokyo ,"35.637506, 139.731316",1907- ,YiKS,이광수,35.637506,139.731316,1907,,Lee Kwang-soo,"rgb(228, 131, 15)"
35,Chongju,"39.697894, 125.206635",1910- ,YiKS,이광수,39.697894,125.206635,1910,,Lee Kwang-soo,"rgb(228, 131, 15)"
36,Shanghai ,"31.217409, 121.474784",1913- ,YiKS,이광수,31.217409,121.474784,1913,,Lee Kwang-soo,"rgb(228, 131, 15)"
37,Vladivostok,"43.120038, 131.888204",1914-,YiKS,이광수,43.120038,131.888204,1914,,Lee Kwang-soo,"rgb(228, 131, 15)"
38,Tokyo,"35.708707, 139.719659",1915-,YiKS,이광수,35.708707,139.719659,1915,,Lee Kwang-soo,"rgb(228, 131, 15)"
39,Tokyo,"35.708707, 139.719659",1916-,YiKS,이광수,35.708707,139.719659,1916,,Lee Kwang-soo,"rgb(228, 131, 15)"
40,Shanghai ,"31.217409, 121.474784",1920-,YiKS,이광수,31.217409,121.474784,1920,,Lee Kwang-soo,"rgb(228, 131, 15)"
41,"Seoul, Jongno","37.570294, 126.978113",1921-1923,YiKS,이광수,37.570294,126.978113,1921,1923,Lee Kwang-soo,"rgb(228, 131, 15)"
42,"Seoul, Taepyeongno 1(il)-ga","37.567923, 126.975625",1933-,YiKS,이광수,37.567923,126.975625,1933,,Lee Kwang-soo,"rgb(228, 131, 15)"
43,"Seoul, Seodaemun ","37.574279, 126.956082",1937- ,YiKS,이광수,37.574279,126.956082,1937,,Lee Kwang-soo,"rgb(228, 131, 15)"
44,Tokyo ,"35.705384, 139.731885",1942- ,YiKS,이광수,35.705384,139.731885,1942,,Lee Kwang-soo,"rgb(228, 131, 15)"
45,Tokyo ,"35.705384, 139.731885",1943-,YiKS,이광수,35.705384,139.731885,1943,,Lee Kwang-soo,"rgb(228, 131, 15)"
46,Nanjing ,"32.058955, 118.792570",1944-,YiKS,이광수,32.058955,118.79257,1944,,Lee Kwang-soo,"rgb(228, 131, 15)"
47,"Seoul, Seodaemun ","37.574279, 126.956082",1949- ,YiKS,이광수,37.574279,126.956082,1949,,Lee Kwang-soo,"rgb(228, 131, 15)"
48,Chagang-do ,"40.725974, 126.557134",10/25/1950 ,YiKS,이광수,40.725974,126.557134,10/25/1950 ,,Lee Kwang-soo,"rgb(228, 131, 15)"
49,Pyongyang,"39.037055, 125.762013",1/20/1896 - ,KimMS,김명순,39.037055,125.762013,1/20/1896,,Kim Myung-soon,"rgb(150, 125, 11)"
50,Pyongyang,"39.037055, 125.762013",1902-,KimMS,김명순,39.037055,125.762013,1902,,Kim Myung-soon,"rgb(150, 125, 11)"
51,Pyongyang,"39.037055, 125.762013",1904 - ,KimMS,김명순,39.037055,125.762013,1904,,Kim Myung-soon,"rgb(150, 125, 11)"
52,"Seoul, Hyoja-dong","37.581592, 126.971997",1907 - 11/1911,KimMS,김명순,37.581592,126.971997,1907,11/1911,Kim Myung-soon,"rgb(150, 125, 11)"
53,"Tokyo, Kojimachi","35.684397, 139.741625",1913 -,KimMS,김명순,35.684397,139.741625,1913,,Kim Myung-soon,"rgb(150, 125, 11)"
54,"Tokyo, Tokiwadai","35.764891, 139.676988",1915-,KimMS,김명순,35.764891,139.676988,1915,,Kim Myung-soon,"rgb(150, 125, 11)"
55,"Seoul, Taepyeongno 1(il)-ga","37.568088, 126.976562",4/1916 - 3/1917,KimMS,김명순,37.568088,126.976562,4/1916,3/1917,Kim Myung-soon,"rgb(150, 125, 11)"
56,Tokyo ,"35.710133, 139.734464",1918 -1920 ,KimMS,김명순,35.710133,139.734464,1918,1920,Kim Myung-soon,"rgb(150, 125, 11)"
57,Seoul ,"37.564473, 126.976491",1921-1922 사이 귀국,KimMS,김명순,37.564473,126.976491,1921,1922 사이 귀국,Kim Myung-soon,"rgb(150, 125, 11)"
58,Pyongyang,"39.037055, 125.762013",10/1922 - 1/1924,KimMS,김명순,39.037055,125.762013,10/1922,1/1924,Kim Myung-soon,"rgb(150, 125, 11)"
59,Seoul ,"37.564473, 126.976491",1924 - ,KimMS,김명순,37.564473,126.976491,1924,,Kim Myung-soon,"rgb(150, 125, 11)"
60,"Tokyo, Kanda","35.691804, 139.770900",1930 - 1935,KimMS,김명순,35.691804,139.7709,1930,1935,Kim Myung-soon,"rgb(150, 125, 11)"
61,"Tokyo, Chiyoda","35.683243, 139.732299",-,KimMS,김명순,35.683243,139.732299,,,Kim Myung-soon,"rgb(150, 125, 11)"
62,"Tokyo, Chiyoda","35.695743, 139.741431",-,KimMS,김명순,35.695743,139.741431,,,Kim Myung-soon,"rgb(150, 125, 11)"
63,"Seoul, Shinchon","37.559642, 126.943797",8/1936 - ,KimMS,김명순,37.559642,126.943797,8/1936,,Kim Myung-soon,"rgb(150, 125, 11)"
64,Tokyo(?) ,"35.710133, 139.734464",1939 - ,KimMS,김명순,35.710133,139.734464,1939,,Kim Myung-soon,"rgb(150, 125, 11)"
65,Tokyo(?) ,"35.710133, 139.734464",1951-,KimMS,김명순,35.710133,139.734464,1951,,Kim Myung-soon,"rgb(150, 125, 11)"
66,"Kochang, Jeollabuk-do ","35.436115, 126.716735",02/11/1915 ,ImSD,임순득,35.436115,126.716735,02/11/1915 ,,Im Soon-deuk,"rgb(133, 146, 7)"
67,"Seoul, Sinchon-dong","37.562121, 126.946862",01/15/1930,ImSD,임순득,37.562121,126.946862,01/15/1930,,Im Soon-deuk,"rgb(133, 146, 7)"
68,"Seoul, Cheonyeon-dong","37.574577, 126.956050",06/25/1931,ImSD,임순득,37.574577,126.95605,06/25/1931,,Im Soon-deuk,"rgb(133, 146, 7)"
